Well #,Season,GPS ,Name of Village,State as of 2016
366,2019,"N: 08' 06' 192"" E: 028' 55' 018""",Wun-Adhot,Tonj
367,2019,"N: 08' 04' 046"" E: 028' 58'  563""",Ga-Gir,Tonj
368,2019,"N: 08' 04' 173"" E: 028' 52' 249""",Wunkuel,Tonj
369,2019,"N: 08' 04' 253"" E: 028' 54' 725""",Mayen-Dong ,Tonj
370,2019,"N: 08' 10' 891"" E: 028' 19' 456""",Aduktik Primary School,Gogrial
371,2019,"N: 08' 10' 410"" E: 028' 24' 371""",Maluil,Gogrial
372,2019,"N: 07' 52' 093"" E: 028' 23' 959"" ",Wunkuel,Tonj
373,2019,"N: 08' 08' 061"" E: 028' 23' 134""",Aguath,Tonj
374,2019,"N: 08' 07' 623"" E: 028' 24' 129""",Pool Chang,Tonj
375,2019,"N: 07' 48' 074"" E: 028' 15' 320""",Wun-Agep,Tonj
376,2019,"N: 08' 09' 023"" E: 028' 21' 483""",Mangar-Kiech,Gogrial
377,2019,"N: 08' 09' 109"" E: 028' 15' 389"" ",Achuk Primary School,Gogrial
378,2019,"N: 08' 09' 870"" E: 028' 17' 263""",Rumkuel,Gogrial
379,2019,"N: 08' 11' 733"" E: 028' 17' 588""",Waryar,Gogrial
380,2019,"N: 08' 10' 166"" E: 028' 10' 205""",Riak-bet,Gogrial
381,2019,"N: 07' 42' 430"" E: 028' 02' 053""",Block-E,Wau
382,2019,"N: 07' 41' 635"" E: 028' 00' 277",Sunday Primary School ,Wau
383,2019,"N: 07' 40' 565"" E: 028' 00' 638",Rumbek Jadit,Wau
384,2019,"N: 07' 40' 014"" E: 028' 01' 203""",Majak ,Wau
385,2019,"N: 07' 41' 232"" E: 027' 59' 006""",Hai Jebel-kher and Bright Future S.S,Wau
386,2019,"N: 07' 40' 604"" E: 028' 00' 466"" ",Nazareth ,Wau
387,2019,"N: 07' 43' 643"" E: 027' 50' 965""",Bilpam ,Wau 
388,2019,"N: 07' 42' 037"" E: 028' 00' 054""","Wau "" A"" Girls Primary School",Wau
389,2019,"N: 07' 40' 937"" E: 028' 00' 350""",Nazareth ,Wau
400,2019,"N: 07' 41' 633"" E: 027' 59' 623",Hai Jebel ,Wau
401,2019,N: 7.821955. E: 27.933984,Warhuk,Wau
402,2019,N:7.925305.  E: 27. 983570,Ger-Ajiep,Wau
403,2019,N: 7.918773. E: 27.983958,Beling Achol,Wau
404,2019,N: 8.120638. E: 27.946019,Riangnhom ,Gogrial 
405,2020,N: 8.272458. E: 28.063678,Adhothic ,Gogrial 
406,2020,N: 8. 193789. E: 28.147642,Khiiric Primary School,Gogrial 
407,2020,N: 9. 060578. E: 28.320100,Majok Ken ,Twic
408,2020,N: 9.117473. E: 28.357209,Gumgoi,Twic
409,2020,N: 8. 736813. E: 28.145308,Malek Ngok Primary School,Gogrial 
410,2020,N: 8.598692. E: 28.331118,Maluil Aluel - Primary School,Gogrial 
411,2020,N: 8.633077. E: 28. 314612,Buon-Nyoor,Gogrial 
412,2020,N: 8.686607. E: 28.291045,Wuntit,Gogrial 
413,2020,N: 8.284778. E: 28.124869,Nyiorthok Marul,Gogrial 
414,2020,N: 8.716270. E: 28.368261,Achool/Abuokdiit,Gogrial 
415,2020,N: 8.707364. E: 28.363945,Panyuom,Gogrial 
416,2020,N: 8.675292. E: 28.397801,Marial Akuien Primary School,Gogrial 
417,2020,N: 8. 6246697. E: 28. 37619618,Rum-muoth ,Gogrial 
418,2020,N: 8. 6201619: E: 28. 36936978,Panthony,Gogrial 
419,2020,N: 8. 61242638: E: 28. 35522328,Panchier Primary School,Gogrial
420,2020,N: 8. 60221412: E: 28. 36086966,Patai,Gogrial 
421,2020,N: 8. 777512: E: 28. 460207,Machar Akol,Gogrial 
422,2020,N: 8. 707326: E: 28. 452977,Chuei Akuong/Pan Jak,Gogrial
423,2020,N: 8. 696559: E: 28. 409151,Mayom Dunguer/Roordit ,Gogrial
424,2020,"N: 8. 738526"": E: 28. 497476",Thuor Geng Anei,Gogrial
425,2020,"N: 8. 727310"": E: 28: 512490",Galual Primary School,Gogrial
426,2020,"N: 8. 840372"" E: 28. 545150",Agumuot ,Gogrial
427,2020,"N: 8. 740261"" E: 28: 487870",Thur-Agaar,Gogrial
428,2020,"N: 8. 850743"" E: 28. 560865",Tiit-thok,Gogrial 
429,2020,"N: 8. 833539"" E: 28. 561873",Riang Mabior ,Gogrial 
430,2020,"N: 8. 828808"" E: 28. 575213",Gong Peer Primary School,Gogrial 
431,2020,"N: 7. 721550"" E: 28. 039115",Water for South Sudan-Compound ,Wau
432,2020,"N: 8. 807506"" E: 28. 509123",Awutuop,Gogrial
433,2020,"N: 8. 808575"" E: 28. 559001",Thur-juoth,Gogrial 
434,2020,"N: 8. 801226"" E: 28. 528591",Chuei-Makiech,Gogrial 
435,2020,"N: 8. 790194"" E: 28. 510969",Rumliet Primary School,Gogrial 
436,2020,"N: 8. 816380"" E: 28. 510852",Majok Donguar Primary School,Gogrial
437,2020,"N: 8. 7267353""  E: 28.5224032",Giny-jur,Gogrial 
438,2020,"N: 8. 730420"" E: 28. 531277",Majak-Nyuom Primary School,Gogrial 
439,2020,"N: 8. 737577"" E: 28. 535263",Marial -Nyap,Gogrial 
440,2020,"N: 8. 71298694"" E: 28. 57218962",Adhuothic ,Gogrial 
441,2020,"N: 8. 745362"" E: 28. 541494",Marial Pajieng,Gogrial 
442,2020,"N: 8. 75550141"" E: 28. 56311892",Aringhok Primary School,Gogrial 
443,2020,"N: 8. 74867388"" E: 28. 55802429",Rum Pagong,Gogrial 
444,2020,"N: 8. 753115"" E: 28. 553037",Rum-panagok,Gogrial 
445,2020,"N: 8. 76590122"" E: 28. 57867312",Atunga,Gogrial 
446,2020,"N: 8. 770592"" E: 28. 587666",Mayen Atunga,Gogrial 
447,2020,"N: 8. 797524"" E: 28. 618598",Alol,Gogrial 
448,2020,"N: 8. 78329879"" E: 28. 61443451",Thurdong ,Gogrial 
449,2020,"N: 8. 80055701"" E: 28. 63297898",Adel ,Gogrial
450,2020,"N: 8. 796721"" E: 28. 488366",Gong Nyuon ,Gogrial 
451,2020,"N: 8. 656609"" E: 28. 399453",Marial Thou,Gogrial
452,2020,"N: 8. 662730"" E: 28. 404369",Panthou,Gogrial 
453,2020,"N: 7. 995652"" E: 27. 800206",Abou Primary Health Care Unit,Wau
454,2020,"N: 7. 851996"" E: 27. 899044",Atido Primary Health Care Unit ,Wau
455,2020,"N: 7. 921080"" E: 27. 161494",Achuong-chuong Primary Health Care Center ,Wau
456,2020,"N: 7. 628385"" E: 27. 105634",Nyikejo Primary Health Care Unit,Wau
457,2020,"N: 7. 707176"" E: 27. 964336",Khor Ghana Jadeep Primary School,Wau
458,2021,N: 8. 83 82 25 E: 28. 17 72 04,Rumameth,Gogrial West
459,2021,N: 8.56 90 05  E: 28. 22. 59 96,Pajok Beck,Gogrial West
460,2021,N: 8. 56 01 27 E: 28. 26 12 68,Aciec-kou,Gogrial West
461,2021,N: 8. 86.  21 10 E: 28. 40 63 33,Majook Akotkuac,Gogrial West
462,2021,N: 8. 71 13 51 E: 28. 42 36 57,Ajogo,Gogrial East
463,2021,N: 8.82. 45 07 E: 28. 54. 18 91,Mangol,Gogrial East
464,2021,N:8. 71 97 59  E: 28. 14. 22 84,Majook Ngok,Gogrial West
465,2021,N: 8. 56.28 57 E: 28. 12. 40 96,Warngap,Gogrial West
466,2021,N: 8.415950 E:28.344742,Pinydit,Gogrial East
467,2021,N: 8. 41 38 29 E: 28. 37 26 17,Chur Primary School,Gogrial East
468,2021,N: 8. 38 61 27 E: 28 31 47 96,Mawithou,Gogrial East
469,2021,N: 8.33 32.54  E: 28. 29 34 98,Maker Akech,Gogrial East
470,2021,N: 8. 22 85 45 E: 28. 39 13 95,Luonyaker Church,Gogrial East
471,2021,N:8.37 78 39   E: 28.35 67 83,Lilmajak,Gogrial East
472,2021,N: 8.35 10 07  E: 28. 35 40 34,Tarweng,Gogrial East
473,2021,N: 8. 27 08 24 E: 28. 36 02 73,Pathoui,Gogrial East
474,2021,N: 8. 28 42 75 E: 28. 38 58 93,Toluel,Gogrial East
475,2021,N: 8. 32 37 43  E: 28. 39 45 30,Nyorthook,Gogrial East
476,2021,N: 8. 21 32 64 E: 28. 39 56 08,Ahuoch bar,Gogrial East
477,2021,N: 8.16 79 68 E: 28. 33 20 09,Ajak-Angon,Gogrial East
478,2021,N: 8. 19 01 57 E:28.44 32 94,Patiek-Dier,Gogrial East
479,2021,N: 8.22 47 78 E: 28.42 87 49,Nyiop-chop Primary,Gogrial East
480,2021,N: 8. 22 14 05 E: 28. 30 94 22,Mabil,Gograil East
481,2021,N: 8.12 68 29  E:28. 28 92 77,Halcok,Gogrial East
482,2021,N: 8.21 15 01  E: 28. 45 81 43,Athiang,Gogrial East
483,2021,N: 8. 00 36 63 E: 28. 03 3162,Mabior Abiem,Jur River
484,2021,N: 7. 29 53 41 E: 28. 16 09 32,Marial Baai,Jur River
485,2021,N: 7. 49 81 88 E: 28. 26 82 03,Kuarjiena,Jur River
486,2021,N: 7. 57 48 01 E 28. 02 28 61,Warayat,Jur River
487,2021,N:8.34 65 37  E: 28. 29 40 93,Ayen,Gogrial East
488,2021,N: 8.33 29 19 E: 28. 25 48 68,Lietdit-Nhom,Gogrial East
489,2021,N: 8.34 08 44 E: 28. 30 82 34,Awut-wut,Gogrial East
490,2021,N: 8.42 47 28 E: 28. 46  98 89,Wut-Dong,Gogrial East
491,2021,N: 8.40 13 20 E: 28. 37 76 23,Geng-agok,Gogrial East
492,2021,N:8.41 44 03  E:28.39 57 64,Adol thiong,Gogrial East
493,2021,N: 8.33 62 27 E:28.40 27 45,Keric Machar Awuong,Gogrial East
494,2021,N: 8.41 20 90 E: 28.40 31 35,Jaac Kuac,Gogrial East
495,2021,N: 8.38 38 28  E:28. 43 49 01,Mac-Ather,Gogrial East
496,2021,N:8.21 02 23 E: 28. 49 35 50,Mawut-Ador,Gogrial East
497,2021,N:8.24 39 60 E:28. 34 54 68,Rieng-piny,Gogrial East
498,2021,N:8.30 58 20 E: 28. 40 65 99,Aker-Abuok,Gogrial East
499,2021,N:8.41 92 20 E: 28. 42 63 66,Kuel,Gogrial East
500,2021,N:8.39 96 16 E: 28. 43 99 31,Nyok-Nyok,Gogrial East
501,2021,N:7.78 22 55 E: 27. 98 10 46,Alel-chok Primary School,Jur River
502,2021,N: 7.77 78 47 E: 27. 97 81 29,Alel-chok PHCU,Jur River
503,2021,N:7.94 63 20 E: 27 . 84 70 61,Gettee,Jur River
504,2021,N: 7.69 39 59 E: 27.00 12 65,"RRC, Wau South Sudan",Wau
505,2021,N:7. 67 88 02 E:27.99 43 09,Bazia Jedid PHCC,Wau
506,2021,N:7.7048366 E:28.0388955,Pian-tok,Western Bahr-El-Ghazal
507,2022,N:7.6848379 E:28.005877,Ukel Abanga Primary School -- KorKorongo,Western Bahr-El-Ghazal
508,2022,N:7.717945  E:28.040872,Eastern bank - Salva's Farm,Western Bahr-El-Ghazal
509,2022,N:7.7678804 E:29.066502,Wunyiik,Warrap
510,2022,N:7.793340 E:29.038943,Makur,Warrap
511,2022,N:7.786497  E:29.065389 ,Palam,Warrap
512,2022,N:7.738077  E:29.025425,Marial Aguet,Warrap
513,2022,N:7.737376 E:29.126798,Pakang,Warrap
514,2022,N:7.804939 E:29.083346,Akol-Ngong ,Warrap
515,2022,N:7.812046 E:29.109074,Mabior Makot,Warrap
516,2022,N:8.542319 E:28.091526,Rieny,Warrap
517,2022,N:7.8742206 E:29.0808412,Kuel - Abil,Warrap
518,2022,N:7.891297 E:29.114612,Rak-Chiek,Warrap
519,2022,N:7.828862 E:29.091834,Cum-Luol,Warrap
520,2022,N:7.883845 E:29.104376,Danga,Warrap
521,2022,N:7.850689 E:29.091872,War-Apor,Warrap
522,2022,N:7.801082 E:28.995569,Gokdit,Warrap
523,2022,N:7.741722 E:28.850067,Rak-Chok,Warrap
524,2022,N:7.983249 E:29.310138,Aloor,Warrap
525,2022,N:7.652340 E:28.730842,Anyiach,Warrap
526,2022,N:7.803575 E:28.917345,Wun-Kuel Primary School,Warrap
527,2022,N:7.965471 E:29.216538,Lol-lith,Warrap
528,2022,N:7.755361 E:28.970739,Majok-Cileng,Warrap
529,2022,N:7.729456 E:28.813597,Aleek,Warrap
530,2022,N:7.715034 E:28.943102,Palal,Warrap
531,2022,N:7.736124 E:28.973020,Kony-bai,Warrap
532,2022,N:7.877131 E:29.437067,Aliet PHCU,Warrap
533,2022,N:7.849500 E:29.435504,Ngem-Aker,Warrap
534,2022,N:7.906851 E:29.4839798,Pagot,Warrap
535,2022,N:8.107486 E:29.355963,Nyingor,Warrap
536,2022,N:8.146744 E:29.329007,Wun-Cum,Warrap
537,2022,N:8.138022 E:29.397375,Kol-Nyang,Warrap
538,2022,N:7.835492 E:29.218730 ,Wunlit Market ,Warrap
539,2022,N:7.617821 E:28.800362,Ageng,Warrap
540,2022,N:7.611710 E:28.793657,Machar-Arol,Warrap
541,2022,N:7.803732 E:28.951379,Wunkuel ,Warrap
542,2022,N:8.090337 E:29.335422,Apuukdit ,Warrap
543,2022,N:7.892494 E:29.433974,Adial,Warrap
544,2022,N:7.748954 E:29.292710,Rumkier ,Warrap
545,2022,N:7.862975 E:29.337619 ,Ajakdit,Warrap
546,2022,N:7.972436 E:29.281650,Ayidit,Warrap
547,2022,N:8.039875 E:29.488043,Madher,Warrap
548,2022,N:8.084689 E:29.282149,Panak,Warrap
549,2022,N:7.814375 E:29.233746,Jarweng,Warrap
550,2022,N:7.900902 E:29.456491,Panur,Warrap
551,2022,N:7.943559 E:29.302115,Tarweng,Warrap
552,2022,N:7.987563 E:29.317100,Palieng Market,Warrap
553,2022,N:7.977807 E:29.310230,Machar ,Warrap
554,2022,N:7.601290 E:28.748522,Aluom,Warrap
555,2022,N:7.711448 E:28.909863,Akier - Panyangthii,Warrap
556,2022,N:8.280801 E:27.975449,Anguei,Warrap
557,2022,N:7.683869 E:27.976275,Toby Primary School,Western Bahr-El-Ghazal
